place_name,district_name,latitude,longitude,popularity_rating,average_temperature,type_of_place,best_visiting_month,short_description
Nainital,Tehri Garhwal,30.7061,78.5162,3,8.9,Trek,February,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum
Jim Corbett National Park,Uttarkashi,31.2007,78.1644,5,25.0,Lake,January,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien
Rishikesh,Rudraprayag,29.5913,79.7513,1,2.3,Trek,September,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
Auli,Tehri Garhwal,30.4571,79.8075,4,17.9,Lake,May,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien
Chopta,Uttarkashi,30.4378,79.2106,2,22.2,Hill Station,October,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
Jim Corbett National Park,Dehradun,29.8229,78.9421,1,22.7,Hill Station,July,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
Auli,Bageshwar,31.3937,79.9735,4,11.4,Wildlife Sanctuary,September,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam
Mussoorie,Chamoli,30.1812,79.0238,1,26.0,Wildlife Sanctuary,August,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit
Jim Corbett National Park,Haridwar,31.1586,79.7662,1,13.0,Wildlife Sanctuary,October,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
Jim Corbett National Park,Pauri Garhwal,31.0844,79.9731,1,2.3,Temple,December,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
Auli,Rudraprayag,29.2233,78.5974,4,0.2,Adventure Spot,August,lobortis est phasellus sit amet erat nulla tempus vivamus in
Nainital,Tehri Garhwal,30.1223,77.6438,2,8.0,Temple,October,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
Mussoorie,Chamoli,29.1636,79.3584,2,6.3,Trek,January,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus
Lansdowne,Dehradun,31.2033,78.0354,5,5.9,Hill Station,February,amet lobortis sapien sapien non mi integer ac neque duis
Almora,Almora,30.4262,80.4195,5,15.9,Trek,January,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum
Chopta,Pauri Garhwal,29.6913,78.6189,5,23.1,Temple,December,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
Mussoorie,Rudraprayag,29.9399,80.3469,1,29.3,Temple,April,suscipit nulla elit ac nulla sed vel enim sit amet nunc
Ranikhet,Almora,29.3703,79.1402,2,7.6,Lake,July,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
Jim Corbett National Park,Uttarkashi,29.8457,78.7356,5,5.4,Temple,January,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit
Lansdowne,Almora,30.3808,78.6156,3,7.7,Trek,June,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac
Jim Corbett National Park,Pauri Garhwal,29.5282,78.0036,3,3.7,Trek,February,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
Jim Corbett National Park,Rudraprayag,30.4497,79.0061,1,27.3,Lake,July,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat
Almora,Dehradun,31.1361,78.5584,3,4.0,Wildlife Sanctuary,March,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend
Ranikhet,Nainital,29.1663,77.9727,2,7.3,Wildlife Sanctuary,July,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla
Rishikesh,Almora,31.0228,79.2863,2,7.1,Trek,February,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend
Nainital,Dehradun,30.6993,77.8269,3,12.0,Wildlife Sanctuary,August,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo
Rishikesh,Nainital,29.5889,79.0483,1,21.2,Adventure Spot,May,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
Haridwar,Haridwar,29.3243,78.7058,4,8.3,Hill Station,December,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
Jim Corbett National Park,Tehri Garhwal,31.2478,80.3779,3,22.8,Hill Station,December,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus
Ranikhet,Haridwar,30.333,78.2467,1,18.2,Hill Station,July,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum
Jim Corbett National Park,Haridwar,29.72,80.3735,5,22.2,Trek,August,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel
Lansdowne,Bageshwar,30.2568,79.9719,5,6.8,Trek,May,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean
Auli,Bageshwar,29.101,79.0189,3,20.0,Trek,October,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut
Ranikhet,Almora,29.8446,78.9879,2,5.1,Temple,February,amet justo morbi ut odio cras mi pede malesuada in imperdiet
Haridwar,Nainital,31.4152,79.3431,5,19.1,Temple,February,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat
Mussoorie,Uttarkashi,30.5144,79.1607,2,17.2,Lake,December,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget
Lansdowne,Rudraprayag,29.1186,77.936,3,13.5,Hill Station,May,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer
Lansdowne,Chamoli,30.8617,77.9262,5,0.9,Temple,March,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id
Almora,Chamoli,30.2811,77.7032,3,2.2,Lake,November,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
Haridwar,Tehri Garhwal,30.0093,77.661,5,18.8,Trek,June,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
Chopta,Almora,30.087,80.0958,3,12.6,Temple,November,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam
Chopta,Tehri Garhwal,31.4322,78.6681,4,6.2,Hill Station,July,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien
Mussoorie,Chamoli,30.632,80.2454,2,22.9,Adventure Spot,July,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
Ranikhet,Pauri Garhwal,30.4176,78.9545,5,25.8,Adventure Spot,June,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
Chopta,Rudraprayag,29.7043,79.3123,1,7.3,Hill Station,November,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
Auli,Pauri Garhwal,29.0999,80.2764,3,26.4,Wildlife Sanctuary,December,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu
Jim Corbett National Park,Chamoli,30.1593,79.7634,4,12.7,Temple,August,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque
Nainital,Dehradun,31.0524,80.4498,5,18.4,Hill Station,August,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu
Almora,Almora,29.2241,78.8729,5,9.5,Trek,August,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget
Haridwar,Chamoli,29.8603,79.9709,1,3.2,Trek,December,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis
Nainital,Haridwar,29.1533,79.0522,3,29.0,Trek,April,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
Ranikhet,Almora,29.7955,77.658,1,10.8,Trek,September,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis
Mussoorie,Pauri Garhwal,29.826,77.9948,4,14.7,Temple,June,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta
Auli,Uttarkashi,30.8328,77.5029,1,16.1,Wildlife Sanctuary,November,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
Jim Corbett National Park,Chamoli,31.4931,79.5976,5,7.5,Hill Station,June,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
Chopta,Uttarkashi,31.0241,78.5323,5,21.2,Hill Station,December,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id
Nainital,Uttarkashi,30.9133,79.3427,3,24.7,Adventure Spot,January,a pede posuere nonummy integer non velit donec diam neque
Mussoorie,Bageshwar,30.5687,78.8987,3,23.7,Temple,December,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
Chopta,Pauri Garhwal,29.6019,78.7292,1,14.8,Adventure Spot,January,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
Mussoorie,Bageshwar,29.6474,79.0409,3,12.5,Lake,June,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac
Mussoorie,Pauri Garhwal,30.6291,80.4756,5,20.3,Temple,May,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu
Rishikesh,Tehri Garhwal,30.5174,80.2176,3,1.6,Hill Station,July,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus
Nainital,Tehri Garhwal,29.968,78.4931,1,20.8,Lake,July,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
Auli,Haridwar,29.8932,80.2088,3,23.9,Temple,December,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam
Ranikhet,Bageshwar,30.0772,79.8114,5,9.5,Wildlife Sanctuary,June,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
Jim Corbett National Park,Bageshwar,29.5248,79.8156,3,27.1,Hill Station,May,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis
Ranikhet,Pauri Garhwal,29.9153,78.8526,4,6.4,Lake,May,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia
Ranikhet,Bageshwar,31.0927,79.0355,3,22.6,Hill Station,November,nisl aenean lectus pellentesque eget nunc donec quis orci eget
Nainital,Nainital,29.0976,78.0108,3,25.4,Trek,April,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien
Ranikhet,Dehradun,30.3819,77.564,2,25.5,Adventure Spot,December,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
Almora,Uttarkashi,29.1707,78.6277,3,7.9,Wildlife Sanctuary,April,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat
Chopta,Tehri Garhwal,30.5574,78.0167,1,15.7,Wildlife Sanctuary,February,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante
Almora,Tehri Garhwal,30.6443,79.5143,4,0.4,Trek,January,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis
Jim Corbett National Park,Almora,29.8909,80.428,4,5.6,Lake,December,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed
Lansdowne,Tehri Garhwal,29.277,78.6711,2,26.8,Hill Station,August,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor
Almora,Nainital,31.0072,79.2232,3,14.7,Temple,October,augue a suscipit nulla elit ac nulla sed vel enim sit
Lansdowne,Tehri Garhwal,29.828,78.0379,3,12.4,Temple,June,in hac habitasse platea dictumst etiam faucibus cursus urna ut
Nainital,Nainital,30.2195,78.1317,5,3.4,Wildlife Sanctuary,December,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
Jim Corbett National Park,Uttarkashi,29.2873,79.2302,2,3.5,Wildlife Sanctuary,February,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla
Chopta,Rudraprayag,31.2837,79.9705,5,12.4,Temple,October,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis
Almora,Rudraprayag,29.6326,80.192,5,26.3,Wildlife Sanctuary,February,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
Ranikhet,Rudraprayag,29.3431,78.3684,2,28.3,Wildlife Sanctuary,March,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer
Almora,Almora,29.8304,79.7279,4,10.3,Hill Station,December,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus
Rishikesh,Chamoli,30.0683,78.6706,5,25.3,Wildlife Sanctuary,January,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec
Almora,Nainital,30.8373,77.6902,4,29.7,Wildlife Sanctuary,August,vestibulum ante ipsum primis in faucibus orci luctus et ultrices
Rishikesh,Bageshwar,30.179,77.5482,4,4.5,Hill Station,August,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a
